"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"HERANBA","INE694N01015","Heranba Industries Limited","05-Mar-2021","10","10","1","-"
"BCLIND","INE412G01016","Bcl Industries Limited","04-Mar-2021","10","10","1","-"
"SILGO","INE01II01013","Silgo Retail Limited","03-Mar-2021","10","10","1","-"
"RAILTEL","INE0DD101019","Railtel Corporation Of India Limited","26-Feb-2021","10","10","1","-"
"NURECA","INE0DSF01015","Nureca Limited","25-Feb-2021","10","10","1","-"
"SMCGLOBAL","INE103C01036","SMC Global Securities Limited","24-Feb-2021","2","2","1","-"
"HLEGLAS","INE461D01010","HLE Glascoat Limited","22-Feb-2021","10","10","1","-"
"BESTAGRO","INE052T01013","Best Agrolife Limited","22-Feb-2021","10","10","1","-"
"IRISDOREME","INE01GN01017","Iris Clothings Limited","22-Feb-2021","10","10","1","-"
"RAJMET","INE00KV01014","Rajnandini Metal Limited","16-Feb-2021","10","10","1","-"
"AKG","INE00Y801016","Akg Exim Limited","16-Feb-2021","10","10","1","-"
"GENCON","INE854S01022","Generic Engineering Construction and Projects Limited","16-Feb-2021","5","5","1","-"
"STOVEKRAFT","INE00IN01015","Stove Kraft Limited","05-Feb-2021","10","10","1","-"
"HOMEFIRST","INE481N01025","Home First Finance Company India Limited","03-Feb-2021","2","2","1","-"
"INDIGOPNTS","INE09VQ01012","Indigo Paints Limited","02-Feb-2021","10","10","1","-"
"IRFC","INE053F01010","Indian Railway Finance Corporation Limited","29-Jan-2021","10","10","1","-"
"AHLADA","INE00PV01013","Ahlada Engineers Limited","28-Jan-2021","10","10","1","-"
"WEALTH","INE658T01017","Wealth First Portfolio Managers Limited","20-Jan-2021","10","10","1","-"
"ACRYSIL","INE482D01024","Acrysil Limited","14-Jan-2021","2","2","1","-"
"KANPRPLA","INE694E01014","Kanpur Plastipack Limited","01-Jan-2021","10","10","1","-"
"AWHCL","INE01BK01022","Antony Waste Handling Cell Limited","01-Jan-2021","5","5","1","-"
"BECTORFOOD","INE495P01012","Mrs. Bectors Food Specialities Limited","24-Dec-2020","10","10","1","-"
"GODHA","INE925Y01010","Godha Cabcon & Insulation Limited","24-Dec-2020","10","10","1","-"
"FAIRCHEMOR","INE0DNW01011","Fairchem Organics Limited","24-Dec-2020","10","10","1","-"
"MGEL","INE0APB01016","Mangalam Global Enterprise Limited","23-Dec-2020","10","10","1","-"
"RKEC","INE786W01010","RKEC Projects Limited","18-Dec-2020","10","10","1","-"
"TARC","INE0EK901012","TARC Limited","18-Dec-2020","2","2","1","-"
"RVHL","INE09E501017","Ravinder Heights Limited","18-Dec-2020","1","1","1","-"
"BURGERKING","INE07T201019","Burger King India Limited","14-Dec-2020","10","10","1","-"
"REPL","INE364Z01019","Rudrabhishek Enterprises Limited","14-Dec-2020","10","10","1","-"
"ACCURACY","INE648Z01015","Accuracy Shipping Limited","11-Dec-2020","10","10","1","-"
"GLOBAL","INE291W01011","Global Education Limited","07-Dec-2020","10","10","1","-"
"SUPREMEENG","INE319Z01013","Supreme Engineering Limited","04-Dec-2020","10","10","1","-"
"MARINE","INE01JE01028","Marine Electricals (India) Limited","02-Dec-2020","2","2","1","-"
"GLAND","INE068V01023","Gland Pharma Limited","20-Nov-2020","1","1","1","-"
"DANGEE","INE688Y01014","Dangee Dums Limited","13-Nov-2020","10","10","1","-"
"KEERTI","INE586X01012","Keerti Knowledge and Skills Limited","13-Nov-2020","10","10","1","-"
"AARON","INE721Z01010","Aaron Industries Limited","06-Nov-2020","10","10","1","-"
"SUBEXLTD","INE754A01055","Subex Limited","05-Nov-2020","5","5","1","-"
"DPABHUSHAN","INE266Y01019","D. P. Abhushan Limited","03-Nov-2020","10","10","1","-"
"ORCHPHARMA","INE191A01027","Orchid Pharma Limited","02-Nov-2020","10","10","1","-"
"EQUITASBNK","INE063P01018","Equitas Small Finance Bank Limited","02-Nov-2020","10","10","1","-"
"KHAICHEM","INE745B01028","Khaitan Chemicals & Fertilizers Limited","30-Oct-2020","1","1","1","-"
"BANKA","INE862Y01015","Banka BioLoo Limited","29-Oct-2020","10","10","1","-"
"BSHSL","INE032Z01012","Bombay Super Hybrid Seeds Limited","28-Oct-2020","10","10","1","-"
"HEMIPROP","INE0AJG01018","Hemisphere Properties India Limited","22-Oct-2020","10","10","1","-"
"SHRADHA","INE715Y01015","Shradha Infraprojects Limited","22-Oct-2020","10","10","1","-"
"SUULD","INE591Q01016","Suumaya Industries Limited","19-Oct-2020","10","10","1","-"
"LIKHITHA","INE060901019","Likhitha Infrastructure Limited","15-Oct-2020","10","10","1","-"
"ICEMAKE","INE520Y01019","Ice Make Refrigeration Limited","12-Oct-2020","10","10","1","-"
"UTIAMC","INE094J01016","UTI Asset Management Company Limited","12-Oct-2020","10","10","1","-"
"MAZDOCK","INE249Z01012","Mazagon Dock Shipbuilders Limited","12-Oct-2020","10","10","1","-"
"GLOBE","INE581X01013","Globe Textiles (India) Limited","07-Oct-2020","10","10","1","-"
"SINTERCOM","INE129Z01016","Sintercom India Limited","07-Oct-2020","10","10","1","-"
"ROML","INE294G01026","Raj Oil Mills Limited","06-Oct-2020","10","10","1","-"
"ANGELBRKG","INE732I01013","Angel Broking Limited","05-Oct-2020","10","10","1","-"
"VALIANTORG","INE565V01010","Valiant Organics Limited","05-Oct-2020","10","10","1","-"
"CHEMCON","INE03YM01018","Chemcon Speciality Chemicals Limited","01-Oct-2020","10","10","1","-"
"NIRAJ","INE368I01016","Niraj Cement Structurals Limited","01-Oct-2020","10","10","1","-"
"ADL","INE0CHO01012","Archidply Decor Limited","01-Oct-2020","10","10","1","-"
"AAKASH","INE087Z01016","Aakash Exploration Services Limited","29-Sep-2020","10","10","1","-"
"UNIDT","INE961D01019","United Drilling Tools Limited","25-Sep-2020","10","10","1","-"
"SRPL","INE008Z01012","Shree Ram Proteins Limited","23-Sep-2020","10","10","1","-"
"SHAREINDIA","INE932X01018","Share India Securities Limited","21-Sep-2020","10","10","1","-"
"ROUTE","INE450U01017","ROUTE MOBILE LIMITED","21-Sep-2020","10","10","1","-"
"HAPPSTMNDS","INE419U01012","Happiest Minds Technologies Limited","17-Sep-2020","2","2","1","-"
"TOTAL","INE336X01012","Total Transport Systems Limited","28-Aug-2020","10","10","1","-"
"MAXIND","INE0CG601016","Max India Limited","28-Aug-2020","10","10","1","-"
"MAXHEALTH","INE027H01010","Max Healthcare Institute Limited","21-Aug-2020","10","10","1","-"
"MACPOWER","INE155Z01011","Macpower CNC Machines Limited","19-Aug-2020","10","10","1","-"
"MCL","INE813V01022","Madhav Copper Limited","19-Aug-2020","5","5","1","-"
"TIRUPATIFL","INE319Y01016","Tirupati Forge Limited","04-Aug-2020","10","10","1","-"
"WORTH","INE196Y01018","Worth Peripherals Limited","04-Aug-2020","10","10","1","-"
"NDRAUTO","INE07OG01012","Ndr Auto Components Limited","30-Jul-2020","10","10","1","-"
"ROSSARI","INE02A801020","Rossari Biotech Limited","23-Jul-2020","2","2","1","-"
"BOROLTD","INE02PY01013","Borosil Limited","22-Jul-2020","1","1","1","-"
"AARTISURF","INE09EO01013","Aarti Surfactants Limited","14-Jul-2020","10","10","1","-"
"SILLYMONKS","INE203Y01012","Silly Monks Entertainment Limited","08-Jul-2020","10","10","1","-"
"AARVI","INE754X01016","Aarvi Encon Limited","24-Jun-2020","10","10","1","-"
"UNIVASTU","INE562X01013","Univastu India Limited","22-Jun-2020","10","10","1","-"
"KAPSTON","INE542Z01010","Kapston Facilities Management Limited","27-May-2020","10","10","1","-"
"RAJRATAN","INE451D01011","Rajratan Global Wire Limited","22-May-2020","10","10","1","-"
"VERTOZ","INE188Y01015","Vertoz Advertising Limited","14-May-2020","10","10","1","-"
"MITTAL","INE997Y01019","Mittal Life Style Limited","29-Apr-2020","10","10","1","-"
"POWERINDIA","INE07Y701011","ABB Power Products and Systems India Limited","30-Mar-2020","2","2","1","-"
"SBICARD","INE018E01016","SBI Cards and Payment Services Limited","16-Mar-2020","10","10","1","-"
"SUVENPHAR","INE03QK01018","Suven Pharmaceuticals Limited","09-Mar-2020","1","1","1","-"
"GEEKAYWIRE","INE669X01016","Geekay Wires Limited","06-Mar-2020","10","10","1","-"
"BAFNAPH","INE878I01022","Bafna Pharmaceuticals Limited","27-Feb-2020","10","10","1","-"
"ALOKINDS","INE270A01029","Alok Industries Limited","19-Feb-2020","1","1","1","-"
"UNIVPHOTO","INE03V001013","Universus Photo Imagings Limited","14-Feb-2020","10","10","1","-"
"MAHEPC","INE215D01010","Mahindra EPC Irrigation Limited","14-Feb-2020","10","10","1","-"
"ASALCBR","INE073G01016","Associated Alcohols & Breweries Ltd.","12-Feb-2020","10","10","1","-"
"BIRLATYRE","INE0AEJ01013","Birla Tyres Limited","10-Feb-2020","10","10","1","-"
"SHREDIGCEM","INE232A01011","Shree Digvijay Cement Co.Ltd","28-Jan-2020","10","10","1","-"
"SUMICHEM","INE258G01013","Sumitomo Chemical India Limited","27-Jan-2020","10","10","1","-"
"RUCHI","INE619A01035","Ruchi Soya Industries Limited","24-Jan-2020","2","2","1","-"
"ARTEMISMED","INE025R01013","Artemis Medicare Services Limited","23-Jan-2020","10","10","1","-"
"TOUCHWOOD","INE486Y01013","Touchwood Entertainment Limited","21-Jan-2020","10","10","1","-"
"DPWIRES","INE864X01013","D P Wires Limited","17-Jan-2020","10","10","1","-"
"VAISHALI","INE972X01014","Vaishali Pharma Limited","15-Jan-2020","10","10","1","-"
"MMP","INE511Y01018","MMP Industries Limited","09-Jan-2020","10","10","1","-"
"PANACHE","INE895W01019","Panache Digilife Limited","06-Jan-2020","10","10","1","-"
"PRINCEPIPE","INE689W01016","Prince Pipes And Fittings Limited","30-Dec-2019","10","10","1","-"
"SHIL","INE05AN01011","Somany Home Innovation Limited","26-Dec-2019","2","2","1","-"
"UJJIVANSFB","INE551W01018","Ujjivan Small Finance Bank Limited","12-Dec-2019","10","10","1","-"
"CSBBANK","INE679A01013","CSB Bank Limited","04-Dec-2019","10","10","1","-"
"CHEMBOND","INE995D01025","Chembond Chemicals Ltd","20-Nov-2019","5","5","1","-"
"KIRLFER","INE884B01025","Kirloskar Ferrous Industries Ltd","13-Nov-2019","5","5","1","-"
"APOLLOPIPE","INE126J01016","Apollo Pipes Limited","11-Nov-2019","10","10","1","-"
"JASH","INE039O01011","Jash Engineering Limited","30-Oct-2019","10","10","1","-"
"GREENPANEL","INE08ZM01014","Greenpanel Industries Limited","23-Oct-2019","1","1","1","-"
"KUANTUM","INE529I01021","Kuantum Papers Limited","23-Oct-2019","1","1","1","-"
"FLUOROCHEM","INE09N301011","Gujarat Fluorochemicals Limited","16-Oct-2019","1","1","1","-"
"VISHWARAJ","INE430N01014","Vishwaraj Sugar Industries Limited","15-Oct-2019","10","10","1","-"
"IRCTC","INE335Y01012","Indian Railway Catering And Tourism Corporation Limited","14-Oct-2019","10","10","1","-"
"AKASH","INE737W01013","Akash Infra-Projects Limited","11-Oct-2019","10","10","1","-"
"IIFLSEC","INE489L01022","IIFL Securities Limited","20-Sep-2019","2","2","1","-"
"IIFLWAM","INE466L01020","Iifl Wealth Management Limited","19-Sep-2019","2","2","1","-"
"SAFARI","INE429E01023","Safari Industries (India) Limited","12-Sep-2019","2","2","1","-"
"MBAPL","INE900L01010","Madhya Bharat Agro Products Limited","22-Aug-2019","10","10","1","-"
"KRISHANA","INE506W01012","Krishana Phoschem Limited","22-Aug-2019","10","10","1","-"
"SWSOLAR","INE00M201021","Sterling And Wilson Solar Limited","20-Aug-2019","1","1","1","-"
"VIKASPROP","INE767B01022","Vikas Proppant & Granite Limited","19-Aug-2019","1","1","1","-"
"BCP","INE905P01028","B.C. Power Controls Ltd","19-Aug-2019","2","2","1","-"
"SPANDANA","INE572J01011","Spandana Sphoorty Financial Limited","19-Aug-2019","10","10","1","-"
"HNDFDS","INE254N01018","Hindustan Foods Limited","19-Aug-2019","10","10","1","-"
"DOLAT","INE966A01022","Dolat Investments Limited","19-Aug-2019","1","1","1","-"
"JIYAECO","INE023S01016","Jiya Eco-Products Limited","19-Aug-2019","10","10","1","-"
"VISHAL","INE755Q01025","Vishal Fabrics Limited","19-Aug-2019","5","5","1","-"
"JUMPNET","INE974C01022","Jump Networks Limited","19-Aug-2019","5","5","1","-"
"WESTLIFE","INE274F01020","Westlife Development Ltd","19-Aug-2019","2","2","1","-"
"ZOTA","INE358U01012","Zota Health Care LImited","19-Aug-2019","10","10","1","-"
"AFFLE","INE00WC01019","Affle (India) Limited","08-Aug-2019","10","10","1","-"
"CREATIVE","INE985W01018","Creative Peripherals and Distribution Limited","05-Aug-2019","10","10","1","-"
"SHRENIK","INE632X01030","Shrenik Limited","02-Aug-2019","1","1","1","-"
"SUMIT","INE748Z01013","Sumit Woods Limited","30-Jul-2019","10","10","1","-"
"LIBAS","INE908V01012","Libas Consumer Products Limited","23-Jul-2019","10","10","1","-"
"SIRCA","INE792Z01011","Sirca Paints India Limited","22-Jul-2019","10","10","1","-"
"GFSTEELS","INE534A01028","Grand Foundry Limited","22-Jul-2019","4","4","1","-"
"SATIA","INE170E01023","Satia Industries Limited","17-Jul-2019","1","1","1","-"
"DCMNVL","INE08KP01019","DCM Nouvelle Limited","16-Jul-2019","10","10","1","-"
"SANGINITA","INE753W01010","Sanginita Chemicals Limited","15-Jul-2019","10","10","1","-"
"INFOBEAN","INE344S01016","InfoBeans Technologies Limited","15-Jul-2019","10","10","1","-"
"OAL","INE959C01023","Oriental Aromatics Limited","11-Jul-2019","5","5","1","-"
"SEYAIND","INE573R01012","Seya Industries Limited","11-Jul-2019","10","10","1","-"
"INDIAMART","INE933S01016","Indiamart Intermesh Limited","04-Jul-2019","10","10","1","-"
"STEELCITY","INE395H01011","Steel City Securities Limited","27-Jun-2019","10","10","1","-"
"DGCONTENT","INE03JI01017","Digicontent Limited","18-Jun-2019","2","2","1","-"
"PPL","INE050001010","Prakash Pipes Limited","14-Jun-2019","10","10","1","-"
"CONFIPET","INE552D01024","Confidence Petroleum India Limited","13-Jun-2019","1","1","1","-"
"EMAMIPAP","INE830C01026","Emami Paper Mills Limited","30-May-2019","2","2","1","-"
"ONEPOINT","INE840Y01011","One Point One Solutions Limited","09-May-2019","10","10","1","-"
"VIKASLIFE","INE161L01027","Vikas Lifecare Limited","08-May-2019","1","1","1","-"
"NEOGEN","INE136S01016","Neogen Chemicals Limited","08-May-2019","10","10","1","-"
"AIRAN","INE645W01026","Airan Limited","03-May-2019","2","2","1","-"
"KPITTECH","INE04I401011","KPIT Technologies Limited","22-Apr-2019","10","10","1","-"
"SOUTHWEST","INE980Y01015","South West Pinnacle Exploration Limited","18-Apr-2019","10","10","1","-"
"POLYCAB","INE455K01017","Polycab India Limited","16-Apr-2019","10","10","1","-"
"METROPOLIS","INE112L01020","Metropolis Healthcare Limited","15-Apr-2019","2","2","1","-"
"MAHESHWARI","INE263W01010","Maheshwari Logistics Limited","15-Apr-2019","10","10","1","-"
"SAKAR","INE732S01012","Sakar Healthcare Limited","11-Apr-2019","10","10","1","-"
"RVNL","INE415G01027","Rail Vikas Nigam Limited","11-Apr-2019","10","10","1","-"
"MSTCLTD","INE255X01014","Mstc Limited","29-Mar-2019","10","10","1","-"
"AGROPHOS","INE740V01019","Agro Phos India Limited","08-Mar-2019","10","10","1","-"
"ARVINDFASN","INE955V01021","Arvind Fashions Limited","08-Mar-2019","4","4","1","-"
"ANUP","INE294Z01018","The Anup Engineering Limited","01-Mar-2019","10","10","1","-"
"CHALET","INE427F01016","Chalet Hotels Limited","07-Feb-2019","10","10","1","-"
"XELPMOC","INE01P501012","Xelpmoc Design And Tech Limited","04-Feb-2019","10","10","1","-"
"SAGARDEEP","INE976T01013","Sagardeep Alloys Limited","25-Jan-2019","10","10","1","-"
"SPENCERS","INE020801028","Spencer's Retail Limited","25-Jan-2019","5","5","1","-"
"RPSGVENT","INE425Y01011","RPSG VENTURES LIMITED","25-Jan-2019","10","10","1","-"
"DALBHARAT","INE00R701025","Dalmia Bharat Limited","22-Jan-2019","2","2","1","-"
"NILASPACES","INE00S901012","Nila Spaces Limited","28-Dec-2018","1","1","1","-"
"TREJHARA","INE00CA01015","TREJHARA SOLUTIONS LIMITED","28-Dec-2018","10","10","1","-"
"TECHNOE","INE285K01026","Techno Electric & Engineering Company Limited","04-Dec-2018","2","2","1","-"
"ATGL","INE399L01023","Adani Total Gas Limited","05-Nov-2018","1","1","1","-"
"GRSE","INE382Z01011","Garden Reach Shipbuilders & Engineers Limited","10-Oct-2018","10","10","1","-"
"AAVAS","INE216P01012","Aavas Financiers Limited","08-Oct-2018","10","10","1","-"
"IRCON","INE962Y01021","Ircon International Limited","28-Sep-2018","2","2","1","-"
"JSWISPL","INE743C01021","JSW Ispat Special Products Limited","12-Sep-2018","10","10","1","-"
"SIGIND","INE529F01035","Signet Industries Limited","29-Aug-2018","10","10","1","-"
"CREDITACC","INE741K01010","CREDITACCESS GRAMEEN LIMITED","23-Aug-2018","10","10","1","-"
"HDFCAMC","INE127D01025","HDFC Asset Management Company Limited","06-Aug-2018","5","5","1","-"
"TCNSBRANDS","INE778U01029","TCNS Clothing Co. Limited","30-Jul-2018","2","2","1","-"
"HBSL","INE550B01022","HB Stockholdings Limited","23-Jul-2018","10","10","1","-"
"VARROC","INE665L01035","Varroc Engineering Limited","06-Jul-2018","1","1","1","-"
"RITES","INE320J01015","RITES Limited","02-Jul-2018","10","10","1","-"
"FINEORG","INE686Y01026","Fine Organic Industries Limited","02-Jul-2018","5","5","1","-"
"GAYAHWS","INE287Z01012","Gayatri Highways Limited","28-Jun-2018","2","2","1","-"
"SOLARA","INE624Z01016","Solara Active Pharma Sciences Limited","27-Jun-2018","10","10","1","-"
"ADANIGREEN","INE364U01010","Adani Green Energy Limited","18-Jun-2018","10","10","1","-"
"BORORENEW","INE666D01022","BOROSIL RENEWABLES LIMITED","25-May-2018","1","1","1","-"
"INDOSTAR","INE896L01010","IndoStar Capital Finance Limited","21-May-2018","10","10","1","-"
"ORIENTELEC","INE142Z01019","Orient Electric Limited","14-May-2018","1","1","1","-"
"HITECH","INE106T01017","Hi-Tech Pipes Limited","07-May-2018","10","10","1","-"
"CHEMFAB","INE783X01023","Chemfab Alkalis Limited","25-Apr-2018","10","10","1","-"
"LEMONTREE","INE970X01018","Lemon Tree Hotels Limited","09-Apr-2018","10","10","1","-"
"MIDHANI","INE099Z01011","Mishra Dhatu Nigam Limited","04-Apr-2018","10","10","1","-"
"CENTRUM","INE660C01027","Centrum Capital Limited","04-Apr-2018","1","1","1","-"
"ISEC","INE763G01038","ICICI Securities Limited","04-Apr-2018","5","5","1","-"
"SANDHAR","INE278H01035","Sandhar Technologies Limited","02-Apr-2018","10","10","1","-"
"KARDA","INE278R01026","Karda Constructions Limited","02-Apr-2018","2","2","1","-"
"HAL","INE066F01012","Hindustan Aeronautics Limited","28-Mar-2018","10","10","1","-"
"BANDHANBNK","INE545U01014","Bandhan Bank Limited","27-Mar-2018","10","10","1","-"
"SUNDARMHLD","INE202Z01029","Sundaram Finance Holdings Limited","26-Mar-2018","5","5","1","-"
"BDL","INE171Z01018","Bharat Dynamics Limited","23-Mar-2018","10","10","1","-"
"HGINFRA","INE926X01010","H.G. Infra Engineering Limited","09-Mar-2018","10","10","1","-"
"GMMPFAUDLR","INE541A01023","GMM Pfaudler Limited","05-Mar-2018","2","2","1","-"
"SHIVAMILLS","INE644Y01017","Shiva Mills Limited","26-Feb-2018","10","10","1","-"
"ASTERDM","INE914M01019","Aster DM Healthcare Limited","26-Feb-2018","10","10","1","-"
"GALAXYSURF","INE600K01018","Galaxy Surfactants Limited","08-Feb-2018","10","10","1","-"
"PRAXIS","INE546Y01022","Praxis Home Retail Limited","31-Jan-2018","5","5","1","-"
"AMBER","INE371P01015","Amber Enterprises India Limited","30-Jan-2018","10","10","1","-"
"NEWGEN","INE619B01017","Newgen Software Technologies Limited","29-Jan-2018","10","10","1","-"
"APOLLO","INE713T01010","Apollo Micro Systems Limited","22-Jan-2018","10","10","1","-"
"ASTRON","INE646X01014","Astron Paper & Board Mill Limited","29-Dec-2017","10","10","1","-"
"SHIVATEX","INE705C01020","Shiva Texyarn Limited","26-Dec-2017","10","10","1","-"
"FSC","INE935Q01015","Future Supply Chain Solutions Limited","18-Dec-2017","10","10","1","-"
"SHALBY","INE597J01018","Shalby Limited","15-Dec-2017","10","10","1","-"
"DNAMEDIA","INE016M01021","Diligent Media Corporation Limited","11-Dec-2017","1","1","1","-"
"HDFCLIFE","INE795G01014","HDFC Life Insurance Company Limited","17-Nov-2017","10","10","1","-"
"5PAISA","INE618L01018","5Paisa Capital Limited","16-Nov-2017","10","10","1","-"
"KHADIM","INE834I01025","Khadim India Limited","14-Nov-2017","10","10","1","-"
"IFGLEXPOR","INE133Y01011","IFGL Refractories Limited","14-Nov-2017","10","10","1","-"
"NIACL","INE470Y01017","The New India Assurance Company Limited","13-Nov-2017","5","5","1","-"
"MAHLOG","INE766P01016","Mahindra Logistics Limited","10-Nov-2017","10","10","1","-"
"NAM-INDIA","INE298J01013","Nippon Life India Asset Management Limited","06-Nov-2017","10","10","1","-"
"TIINDIA","INE974X01010","Tube Investments of India Limited","02-Nov-2017","1","1","1","-"
"GICRE","INE481Y01014","General Insurance Corporation of India","25-Oct-2017","5","5","1","-"
"IEX","INE022Q01020","Indian Energy Exchange Limited","23-Oct-2017","1","1","1","-"
"MASFIN","INE348L01012","MAS Financial Services Limited","18-Oct-2017","10","10","1","-"
"TCPLPACK","INE822C01015","TCPL Packaging Limited","17-Oct-2017","10","10","1","-"
"GODREJAGRO","INE850D01014","Godrej Agrovet Limited","16-Oct-2017","10","10","1","-"
"SCAPDVR","INE224E01036","Stampede Capital Limited","10-Oct-2017","1","1","1","-"
"DIAMONDYD","INE393P01035","Prataap Snacks Limited","05-Oct-2017","5","5","1","-"
"SBILIFE","INE123W01016","SBI Life Insurance Company Limited","03-Oct-2017","10","10","1","-"
"ICICIGI","INE765G01017","ICICI Lombard General Insurance Company Limited","27-Sep-2017","10","10","1","-"
"CHOLAHLDNG","INE149A01033","Cholamandalam Financial Holdings Limited","25-Sep-2017","1","1","1","-"
"CAPACITE","INE264T01014","Capacit'e Infraprojects Limited","25-Sep-2017","10","10","1","-"
"RHFL","INE217K01011","Reliance Home Finance Limited","22-Sep-2017","10","10","1","-"
"DCAL","INE385W01011","Dishman Carbogen Amcis Limited","21-Sep-2017","2","2","1","-"
"LASA","INE670X01014","Lasa Supergenerics Limited","21-Sep-2017","10","10","1","-"
"MATRIMONY","INE866R01028","Matrimony.Com Limited","21-Sep-2017","5","5","1","-"
"DIXON","INE935N01020","Dixon Technologies (India) Limited","18-Sep-2017","2","2","1","-"
"BRNL","INE727S01012","Bharat Road Network Limited","18-Sep-2017","10","10","1","-"
"APEX","INE346W01013","Apex Frozen Foods Limited","04-Sep-2017","10","10","1","-"
"ABCAPITAL","INE674K01013","Aditya Birla Capital Limited","01-Sep-2017","10","10","1","-"
"SMSLIFE","INE320X01016","SMS Lifesciences India Limited","17-Aug-2017","10","10","1","-"
"COCHINSHIP","INE704P01017","Cochin Shipyard Limited","11-Aug-2017","10","10","1","-"
"SIS","INE285J01028","SIS LIMITED","10-Aug-2017","5","5","1","-"
"OPTIEMUS","INE350C01017","Optiemus Infracom Limited","08-Aug-2017","10","10","1","-"
"SPTL","INE501W01021","Sintex Plastics Technology Limited","08-Aug-2017","1","1","1","-"
"THEINVEST","INE924D01017","The Investment Trust Of India Limited","02-Aug-2017","10","10","1","-"
"PALASHSECU","INE471W01019","Palash Securities Limited","28-Jul-2017","10","10","1","-"
"AVADHSUGAR","INE349W01017","Avadh Sugar & Energy Limited","28-Jul-2017","10","10","1","-"
"MAGADSUGAR","INE347W01011","Magadh Sugar & Energy Limited","28-Jul-2017","10","10","1","-"
"GANGESSECU","INE335W01016","Ganges Securities Limited","28-Jul-2017","10","10","1","-"
"SALASAR","INE170V01019","Salasar Techno Engineering Limited","25-Jul-2017","10","10","1","-"
"BHAGYAPROP","INE363W01018","Bhagyanagar Properties Limited","20-Jul-2017","2","2","1","-"
