Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,CONSUMER GOODS,3MINDIA,EQ,INE470A01017
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,EQ,INE07Y701011
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,POWER,ADANIGREEN,BE,INE364U01010
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,EQ,INE647O01011
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ,INE208C01025
Affle (India) Ltd.,IT,AFFLE,BE,INE00WC01019
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011
Alembic Ltd.,PHARMA,ALEMBICLTD,EQ,INE426A01027
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01039
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Angel Broking Ltd.,FINANCIAL SERVICES,ANGELBRKG,EQ,INE732I01013
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
