Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,POWER,ADANIGREEN,BE,INE364U01010
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Gland Pharma Ltd.,PHARMA,GLAND,EQ,INE068V01023
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025
